Timestamp,"Please select which of these characterize you (optional, multiple choises allowed)",Please write any feedback or anything you think should be specified bellow (optional),"Do not modify this field, it should already be completed with your result's unique code. You may press submit."
2025-06-07 17:57:58,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller",None,9123761749308247
2025-06-07 18:00:05,Real-life student pilot,,2332591749308387
2025-06-07 18:02:54,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller",Site-ul functioneaza perfect dar atunci cand completezi traseul si doreste sa apesi SUBMIT cu mouse-ul si nu CTRL+ENTER iti mai traseaza o linie de la ultimul punct pana sub SUBMIT.,4155581749308467
2025-06-09 21:32:15,"Aviation-Enthusiast, VATSIM Pilot",,5212181749493914
2025-06-09 21:42:34,"VATSIM Pilot, VATSIM Controller",,1749531749494505
2025-06-09 21:53:16,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller, CAE Data Engineer",,4906381749495169
2025-06-09 22:05:47,"VATSIM Pilot, VATSIM Controller",,1308001749495922
2025-06-10 00:03:18,"VATSIM Pilot, VATSIM Controller",,7604651749502984
2025-06-10 00:13:35,"VATSIM Pilot, VATSIM Controller",,3251891749503609
2025-06-10 00:36:24,"VATSIM Pilot, VATSIM Controller",,3813651749504973
2025-06-10 09:47:44,"VATSIM Pilot, VATSIM Controller",,1111881749538047
10/06/2025 22:58:13,VATSIM Pilot,,8299781749585478
10/06/2025 23:21:14,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller",,9181351749586843
10/06/2025 23:48:28,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller, Stefan's friend, gori",When the slider at the bottom is clicked it indicates a press and the line goes out of screen,8450771749588407
11/06/2025 02:06:55,Aviation-Enthusiast,,8196181749596805
11/06/2025 12:45:45,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller",There may be additional clicks at the end due to the submit button click registering as a waypoint on the chart. Drag to move the chart on the screen would have been a great feature but well done!,5871661749635069
11/06/2025 13:00:04,Aviation-Enthusiast,,8970311749635982
11/06/2025 14:34:17,"VATSIM Pilot, VATSIM Controller",,6273971749641649
11/06/2025 14:37:08,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller",,7573871749641814
11/06/2025 18:37:22,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller",,3850801749656237
11/06/2025 18:54:47,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller",,9783751749657269
11/06/2025 19:03:36,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller",,6523601749657798
11/06/2025 19:08:00,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller",,4878461749658068
12/06/2025 13:04:19,Real-life student pilot,,2419481749722635
12/06/2025 15:24:50,student,A little bit more complicated for someone who doesn't understand exactly all the terminology. Useful for people who are more familiar.,9.99471E+15
12/06/2025 22:01:42,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller",,8209641749754897
12/06/2025 23:16:01,"VATSIM Pilot, VATSIM Controller",,3754751749759354
13/06/2025 01:51:45,,"It was hard to concentrate because the instructions panel was big, almost on the whole screen and it was hard to focus on the points of the map. I still don't know if the colors on the map where supposed to guide me and offer help, it was kinda confusing cause i initially thought they guided me, but then i saw the patterns are similar on different routes so I think that its just the design. Make the scale smaller, or maybe its intentionally like this so its more difficult to finish in a decent time. Also, when i entered the page I didn't know what to do at first so I just clicked on the first image thinking this is how i start the game, but then i remembered you said to put 15-20 and i found it at the footer of the page, so maybe make it more intuitive for tired people like me. It was a breath of fresh air and for someone who was never curious about this field, thank you! you're doing something great! good luck",4347171749768335
14/06/2025 11:42:10,"Real-life student pilot, Real-life pilot, Aviation-Enthusiast",very nicely made,1072311749890517
17/06/2025 12:37:16,"Real-life student pilot, Real-life pilot",,8819401750153029
