Timestamp,"Please select which of these characterize you (optional, multiple choises allowed)",Please write any feedback or anything you think should be specified bellow (optional),"Do not modify this field, it should already be completed with your result's unique code. You may press submit."
2025-06-07 17:57:58,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller",None,9123761749308247
2025-06-07 18:00:05,Real-life student pilot,,2332591749308387
2025-06-07 18:02:54,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller",Site-ul functioneaza perfect dar atunci cand completezi traseul si doreste sa apesi SUBMIT cu mouse-ul si nu CTRL+ENTER iti mai traseaza o linie de la ultimul punct pana sub SUBMIT.,4155581749308467
2025-06-09 21:32:15,"Aviation-Enthusiast, VATSIM Pilot",,5212181749493914
2025-06-09 21:42:34,"VATSIM Pilot, VATSIM Controller",,1749531749494505
2025-06-09 21:53:16,"Aviation-Enthusiast, VATSIM Pilot, VATSIM Controller, CAE Data Engineer",,4906381749495169
2025-06-09 22:05:47,"VATSIM Pilot, VATSIM Controller",,1308001749495922
2025-06-10 00:03:18,"VATSIM Pilot, VATSIM Controller",,7604651749502984
2025-06-10 00:13:35,"VATSIM Pilot, VATSIM Controller",,3251891749503609
2025-06-10 00:36:24,"VATSIM Pilot, VATSIM Controller",,3813651749504973
2025-06-10 09:47:44,"VATSIM Pilot, VATSIM Controller",,1111881749538047
